ONCENTER,,OFFCENTER
"21,0,0",,"21,0,0"
,,
"21,0,0",,"21,0,0"
,,
"21,0,0",,"21,0,0"
,,
"21,0,0",,"21,0,0"
,,
"21,0,0",,"21,0,0"
,,
"22,0,0",,"22,0,0"
,,
"22,0,0",,"22,0,0"
,,
"22,0,0",,"22,0,0"
,,
"22,0,0",,"22,0,0"
,,
"22,0,0",,"22,0,0"
,,
"22,0,0",,"22,0,0"
,,
"22,0,0",,"22,0,0"
,,
"22,0,0",,"22,0,0"
,,
"22,0,0",,"22,0,0"
,,
"23,0,0",,"23,0,0"
,,
"23,0,0",,"23,0,0"
,,
"23,0,0",,"23,0,0"
,,
"23,0,0",,"23,0,0"
,,
"23,0,0",,"23,0,0"
,,
"23,0,0",,"23,0,0"
,,
"23,0,0",,"23,0,0"
,,
"23,0,0",,"23,0,0"
,,
"23,0,0",,"23,0,0"
,,
"24,0,0",,"24,0,0"
,,
"24,0,0",,"24,0,0"
,,
"24,0,0",,"24,0,0"
,,
"24,0,0",,"24,0,0"
,,
"24,0,0",,"24,0,0"
,,
"24,0,0",,"24,0,0"
,,
"24,0,0",,"24,0,0"
,,
"24,0,0",,"24,0,0"
,,
"24,0,0",,"24,0,0"
,,
"25,2,5",,"25,-2,0"
,,
"25,0,0",,"25,0,0"
,,
"25,0,0",,"25,0,0"
,,
"25,0,0",,"25,0,0"
,,
"25,0,0",,"25,0,0"
,,
"25,0,0",,"25,0,0"
,,
"25,0,0",,"25,0,0"
,,
"25,0,0",,"25,0,0"
,,
"25,0,0",,"25,0,0"
,,
"26,0,0",,"26,0,0"
,,
"26,0,0",,"26,0,0"
,,
"26,0,0",,"26,0,0"
,,
"26,0,0",,"26,0,0"
,,
"26,0,0",,"26,0,0"
,,
"26,0,0",,"26,0,0"
,,
"26,0,0",,"26,0,0"
,,
"26,0,0",,"26,0,0"
,,
"26,0,0",,"26,0,0"
,,
"27,1,6",,"27,-1,0"
,,
"27,0,0",,"27,0,0"
,,
"27,0,0",,"27,0,0"
,,
"27,0,0",,"27,0,0"
,,
"27,0,0",,"27,0,0"
,,
"27,0,0",,"27,0,0"
,,
"27,0,0",,"27,0,0"
,,
"27,0,0",,"27,0,0"
,,
"27,0,0",,"27,0,0"
,,
"28,0,0",,"28,0,0"
,,
"28,0,0",,"28,0,0"
,,
"28,0,0",,"28,0,0"
,,
"28,0,0",,"28,0,0"
,,
"28,0,0",,"28,0,0"
,,
"28,0,0",,"28,0,0"
,,
"28,0,0",,"28,0,0"
,,
"28,0,0",,"28,0,0"
,,
"28,0,0",,"28,0,0"
,,
"29,0,0",,"29,0,0"
,,
"29,0,0",,"29,0,0"
,,
"29,0,0",,"29,0,0"
,,
"29,0,0",,"29,0,0"
,,
"29,0,0",,"29,0,0"
,,
"29,0,0",,"29,0,0"
,,
"29,0,0",,"29,0,0"
,,
"29,0,0",,"29,0,0"
,,
"29,0,0",,"29,0,0"
,,
"30,0,0",,"30,0,0"
,,
"30,0,0",,"30,0,0"
,,
"30,0,0",,"30,0,0"
,,
"30,0,0",,"30,0,0"
,,
"30,0,0",,"30,0,0"
,,
"30,0,0",,"30,0,0"
,,
"30,0,0",,"30,0,0"
,,
"30,0,0",,"30,0,0"
,,
"30,0,0",,"30,0,0"
,,
"31,0,0",,"31,0,0"
,,
"31,0,0",,"31,0,0"
,,
"31,0,0",,"31,0,0"
,,
"31,0,0",,"31,0,0"
,,
"31,0,0",,"31,0,0"
,,
"31,0,0",,"31,0,0"
,,
"31,0,0",,"31,0,0"
,,
"31,0,0",,"31,0,0"
,,
"31,0,0",,"31,0,0"
,,
"32,0,0",,"32,0,0"
,,
"32,0,0",,"32,0,0"
,,
"32,0,0",,"32,0,0"
,,
"32,0,0",,"32,0,0"
,,
"32,0,0",,"32,0,0"
,,
"32,0,0",,"32,0,0"
,,
"32,0,0",,"32,0,0"
,,
"32,0,0",,"32,0,0"
,,
"32,0,0",,"32,0,0"
,,
"33,1,6",,"33,-1,0"
,,
"33,0,0",,"33,0,0"
,,
"33,0,0",,"33,0,0"
,,
"33,0,0",,"33,0,0"
,,
"33,0,0",,"33,0,0"
,,
"33,0,0",,"33,0,0"
,,
"33,0,0",,"33,0,0"
,,
"33,0,0",,"33,0,0"
,,
"33,0,0",,"33,0,0"
,,
"34,0,0",,"34,0,0"
,,
"34,0,0",,"34,0,0"
,,
"34,0,0",,"34,0,0"
,,
"34,0,0",,"34,0,0"
,,
"34,0,0",,"34,0,0"
,,
"34,0,0",,"34,0,0"
,,
"34,0,0",,"34,0,0"
,,
"34,0,0",,"34,0,0"
,,
"34,0,0",,"34,0,0"
,,
"35,2,5",,"35,-2,0"
,,
"35,0,0",,"35,0,0"
,,
"35,0,0",,"35,0,0"
,,
"35,0,0",,"35,0,0"
,,
"35,0,0",,"35,0,0"
,,
"35,0,0",,"35,0,0"
,,
"35,0,0",,"35,0,0"
,,
"35,0,0",,"35,0,0"
,,
"35,0,0",,"35,0,0"
,,
"36,0,0",,"36,0,0"
,,
"36,0,0",,"36,0,0"
,,
"36,0,0",,"36,0,0"
,,
"36,0,0",,"36,0,0"
,,
"36,0,0",,"36,0,0"
,,
"36,0,0",,"36,0,0"
,,
"36,0,0",,"36,0,0"
,,
"36,0,0",,"36,0,0"
,,
"36,0,0",,"36,0,0"
,,
"37,0,0",,"37,0,0"
,,
"37,0,0",,"37,0,0"
,,
"37,0,0",,"37,0,0"
,,
"37,0,0",,"37,0,0"
,,
"37,0,0",,"37,0,0"
,,
"37,0,0",,"37,0,0"
,,
"37,0,0",,"37,0,0"
,,
"37,0,0",,"37,0,0"
,,
"37,0,0",,"37,0,0"
,,
"38,0,0",,"38,0,0"
,,
"38,0,0",,"38,0,0"
,,
"38,0,0",,"38,0,0"
,,
"38,0,0",,"38,0,0"
,,
"38,0,0",,"38,0,0"
,,
"38,0,0",,"38,0,0"
,,
"38,0,0",,"38,0,0"
,,
"38,0,0",,"38,0,0"
,,
"38,0,0",,"38,0,0"
,,
"39,0,0",,"39,0,0"
,,
"39,1,6",,"39,-1,0"
,,
"39,0,0",,"39,0,0"
,,
"39,0,0",,"39,0,0"
,,
"39,0,0",,"39,0,0"
,,
"39,0,0",,"39,0,0"
,,
"39,0,0",,"39,0,0"
,,
"39,0,0",,"39,0,0"
,,
"39,0,0",,"39,0,0"
,,
"40,2,5",,"40,-2,0"
,,
"40,1,6",,"40,-1,0"
,,
"40,0,0",,"40,0,0"
,,
"40,0,0",,"40,0,0"
,,
"40,0,0",,"40,0,0"
,,
"40,0,0",,"40,0,0"
,,
"40,0,0",,"40,0,0"
,,
"40,0,0",,"40,0,0"
,,
"40,0,0",,"40,0,0"
,,
"41,0,0",,"41,0,0"
,,
"41,0,0",,"41,0,0"
,,
"41,0,0",,"41,0,0"
,,
"41,0,0",,"41,0,0"
,,
"41,0,0",,"41,0,0"
,,
"41,0,0",,"41,0,0"
,,
"41,0,0",,"41,0,0"
,,
"41,0,0",,"41,0,0"
,,
"41,0,0",,"41,0,0"
,,
"42,0,0",,"42,0,0"
,,
"42,0,0",,"42,0,0"
,,
"42,0,0",,"42,0,0"
,,
"42,0,0",,"42,0,0"
,,
"42,0,0",,"42,0,0"
,,
"42,0,0",,"42,0,0"
,,
"42,0,0",,"42,0,0"
,,
"42,0,0",,"42,0,0"
,,
"42,0,0",,"42,0,0"
,,
"43,-3,0",,"43,3,4"
,,
"43,0,0",,"43,0,0"
,,
"43,1,6",,"43,-1,0"
,,
"43,0,0",,"43,0,0"
,,
"43,0,0",,"43,0,0"
,,
"43,0,0",,"43,0,0"
,,
"43,0,0",,"43,0,0"
,,
"43,0,0",,"43,0,0"
,,
"43,0,0",,"43,0,0"
,,
"44,0,0",,"44,0,0"
,,
"44,0,0",,"44,0,0"
,,
"44,0,0",,"44,0,0"
,,
"44,0,0",,"44,0,0"
,,
"44,0,0",,"44,0,0"
,,
"44,0,0",,"44,0,0"
,,
"44,0,0",,"44,0,0"
,,
"44,0,0",,"44,0,0"
,,
"44,0,0",,"44,0,0"
,,
"45,0,0",,"45,0,0"
,,
"45,0,0",,"45,0,0"
,,
"45,0,0",,"45,0,0"
,,
"45,0,0",,"45,0,0"
,,
"45,0,0",,"45,0,0"
,,
"45,0,0",,"45,0,0"
,,
"45,0,0",,"45,0,0"
,,
"45,0,0",,"45,0,0"
,,
"45,0,0",,"45,0,0"
,,
"46,0,0",,"46,0,0"
,,
"46,0,0",,"46,0,0"
,,
"46,0,0",,"46,0,0"
,,
"46,0,0",,"46,0,0"
,,
"46,0,0",,"46,0,0"
,,
"46,0,0",,"46,0,0"
,,
"46,0,0",,"46,0,0"
,,
"46,0,0",,"46,0,0"
,,
"46,0,0",,"46,0,0"
,,
"47,0,0",,"47,0,0"
,,
"47,0,0",,"47,0,0"
,,
"47,0,0",,"47,0,0"
,,
"47,0,0",,"47,0,0"
,,
"47,0,0",,"47,0,0"
,,
"47,0,0",,"47,0,0"
,,
"47,0,0",,"47,0,0"
,,
"47,0,0",,"47,0,0"
,,
"47,0,0",,"47,0,0"
,,
"48,0,0",,"48,0,0"
,,
"48,0,0",,"48,0,0"
,,
"48,0,0",,"48,0,0"
,,
"48,0,0",,"48,0,0"
,,
"48,0,0",,"48,0,0"
,,
"48,0,0",,"48,0,0"
,,
"48,0,0",,"48,0,0"
,,
"48,0,0",,"48,0,0"
,,
"48,0,0",,"48,0,0"
,,
"49,0,0",,"49,0,0"
,,
"49,0,0",,"49,0,0"
,,
"49,0,0",,"49,0,0"
,,
"49,0,0",,"49,0,0"
,,
"49,0,0",,"49,0,0"
,,
"49,0,0",,"49,0,0"
,,
"49,0,0",,"49,0,0"
,,
"49,0,0",,"49,0,0"
,,
"49,0,0",,"49,0,0"
,,
"50,0,0",,"50,0,0"
,,
"50,0,0",,"50,0,0"
,,
"50,0,0",,"50,0,0"
,,
"50,0,0",,"50,0,0"
,,
"50,0,0",,"50,0,0"
,,
"50,0,0",,"50,0,0"
,,
"50,0,0",,"50,0,0"
,,
"50,0,0",,"50,0,0"
,,
"50,0,0",,"50,0,0"
,,
"51,0,0",,"51,0,0"
,,
"51,0,0",,"51,0,0"
,,
"51,0,0",,"51,0,0"
,,
"51,0,0",,"51,0,0"
,,
"51,0,0",,"51,0,0"
,,
"51,0,0",,"51,0,0"
,,
"51,0,0",,"51,0,0"
,,
"51,0,0",,"51,0,0"
,,
"51,0,0",,"51,0,0"
,,
"52,0,0",,"52,0,0"
,,
"52,0,0",,"52,0,0"
,,
"52,0,0",,"52,0,0"
,,
"52,0,0",,"52,0,0"
,,
"52,0,0",,"52,0,0"
,,
"52,0,0",,"52,0,0"
,,
"52,0,0",,"52,0,0"
,,
"52,0,0",,"52,0,0"
,,
"52,0,0",,"52,0,0"
,,
"53,0,0",,"53,0,0"
,,
"53,0,0",,"53,0,0"
,,
"53,0,0",,"53,0,0"
,,
"53,0,0",,"53,0,0"
,,
"53,0,0",,"53,0,0"
,,
"53,0,0",,"53,0,0"
,,
"53,0,0",,"53,0,0"
,,
"53,0,0",,"53,0,0"
,,
"53,0,0",,"53,0,0"
,,
"54,2,5",,"54,-2,0"
,,
"54,0,0",,"54,0,0"
,,
"54,0,0",,"54,0,0"
,,
"54,0,0",,"54,0,0"
,,
"54,0,0",,"54,0,0"
,,
"54,0,0",,"54,0,0"
,,
"54,0,0",,"54,0,0"
,,
"54,0,0",,"54,0,0"
,,
"54,0,0",,"54,0,0"
,,
"55,-2,0",,"55,2,5"
,,
"55,1,6",,"55,-1,0"
,,
"55,1,6",,"55,-1,0"
,,
"55,0,0",,"55,0,0"
,,
"55,0,0",,"55,0,0"
,,
"55,0,0",,"55,0,0"
,,
"55,0,0",,"55,0,0"
,,
"55,0,0",,"55,0,0"
,,
"55,0,0",,"55,0,0"
,,
"56,0,0",,"56,0,0"
,,
"56,0,0",,"56,0,0"
,,
"56,0,0",,"56,0,0"
,,
"56,0,0",,"56,0,0"
,,
"56,0,0",,"56,0,0"
,,
"56,0,0",,"56,0,0"
,,
"56,0,0",,"56,0,0"
,,
"56,0,0",,"56,0,0"
,,
"56,0,0",,"56,0,0"
,,
"57,2,5",,"57,-2,0"
,,
"57,0,0",,"57,0,0"
,,
"57,0,0",,"57,0,0"
,,
"57,0,0",,"57,0,0"
,,
"57,0,0",,"57,0,0"
,,
"57,0,0",,"57,0,0"
,,
"57,0,0",,"57,0,0"
,,
"57,0,0",,"57,0,0"
,,
"57,0,0",,"57,0,0"
,,
"58,0,0",,"58,0,0"
,,
"58,0,0",,"58,0,0"
,,
"58,0,0",,"58,0,0"
,,
"58,0,0",,"58,0,0"
,,
"58,0,0",,"58,0,0"
,,
"58,0,0",,"58,0,0"
,,
"58,0,0",,"58,0,0"
,,
"58,0,0",,"58,0,0"
,,
"58,0,0",,"58,0,0"
,,
"59,0,0",,"59,0,0"
,,
"59,1,6",,"59,-1,0"
,,
"59,0,0",,"59,0,0"
,,
"59,0,0",,"59,0,0"
,,
"59,0,0",,"59,0,0"
,,
"59,0,0",,"59,0,0"
,,
"59,0,0",,"59,0,0"
,,
"59,0,0",,"59,0,0"
,,
"59,0,0",,"59,0,0"
,,
"60,0,0",,"60,0,0"
,,
"60,0,0",,"60,0,0"
,,
"60,0,0",,"60,0,0"
,,
"60,0,0",,"60,0,0"
,,
"60,0,0",,"60,0,0"
,,
"60,0,0",,"60,0,0"
,,
"60,0,0",,"60,0,0"
,,
"60,0,0",,"60,0,0"
,,
"60,0,0",,"60,0,0"
,,
"61,1,6",,"61,-1,0"
,,
"61,0,0",,"61,0,0"
,,
"61,0,0",,"61,0,0"
,,
"61,0,0",,"61,0,0"
,,
"61,0,0",,"61,0,0"
,,
"61,0,0",,"61,0,0"
,,
"61,0,0",,"61,0,0"
,,
"61,0,0",,"61,0,0"
,,
"61,0,0",,"61,0,0"
,,
"62,0,0",,"62,0,0"
,,
"62,0,0",,"62,0,0"
,,
"62,0,0",,"62,0,0"
,,
"62,0,0",,"62,0,0"
,,
"62,0,0",,"62,0,0"
,,
"62,0,0",,"62,0,0"
,,
"62,0,0",,"62,0,0"
,,
"62,0,0",,"62,0,0"
,,
"62,0,0",,"62,0,0"
,,
"63,0,0",,"63,0,0"
,,
"63,1,6",,"63,-1,0"
,,
"63,0,0",,"63,0,0"
,,
"63,0,0",,"63,0,0"
,,
"63,0,0",,"63,0,0"
,,
"63,0,0",,"63,0,0"
,,
"63,0,0",,"63,0,0"
,,
"63,0,0",,"63,0,0"
,,
"63,0,0",,"63,0,0"
,,
"64,0,0",,"64,0,0"
,,
"64,0,0",,"64,0,0"
,,
"64,0,0",,"64,0,0"
,,
"64,0,0",,"64,0,0"
,,
"64,0,0",,"64,0,0"
,,
"64,0,0",,"64,0,0"
,,
"64,0,0",,"64,0,0"
,,
"64,0,0",,"64,0,0"
,,
"64,0,0",,"64,0,0"
,,
"65,0,0",,"65,0,0"
,,
"65,0,0",,"65,0,0"
,,
"65,0,0",,"65,0,0"
,,
"65,0,0",,"65,0,0"
,,
"65,0,0",,"65,0,0"
,,
"65,0,0",,"65,0,0"
,,
"65,0,0",,"65,0,0"
,,
"65,0,0",,"65,0,0"
,,
"65,0,0",,"65,0,0"
,,
"66,3,4",,"66,-3,0"
,,
"66,2,5",,"66,-2,0"
,,
"66,1,6",,"66,-1,0"
,,
"66,0,0",,"66,0,0"
,,
"66,0,0",,"66,0,0"
,,
"66,0,0",,"66,0,0"
,,
"66,0,0",,"66,0,0"
,,
"66,0,0",,"66,0,0"
,,
"66,0,0",,"66,0,0"
,,
"67,0,0",,"67,0,0"
,,
"67,0,0",,"67,0,0"
,,
"67,0,0",,"67,0,0"
,,
"67,0,0",,"67,0,0"
,,
"67,0,0",,"67,0,0"
,,
"67,0,0",,"67,0,0"
,,
"67,0,0",,"67,0,0"
,,
"67,0,0",,"67,0,0"
,,
"67,0,0",,"67,0,0"
,,
"68,1,6",,"68,-1,0"
,,
"68,0,0",,"68,0,0"
,,
"68,0,0",,"68,0,0"
,,
"68,0,0",,"68,0,0"
,,
"68,0,0",,"68,0,0"
,,
"68,0,0",,"68,0,0"
,,
"68,0,0",,"68,0,0"
,,
"68,0,0",,"68,0,0"
,,
"68,0,0",,"68,0,0"
,,
"69,1,6",,"69,-1,0"
,,
"69,0,0",,"69,0,0"
,,
"69,0,0",,"69,0,0"
,,
"69,0,0",,"69,0,0"
,,
"69,0,0",,"69,0,0"
,,
"69,0,0",,"69,0,0"
,,
"69,0,0",,"69,0,0"
,,
"69,0,0",,"69,0,0"
,,
"69,0,0",,"69,0,0"
,,
"70,0,0",,"70,0,0"
,,
"70,0,0",,"70,0,0"
,,
"70,0,0",,"70,0,0"
,,
"70,0,0",,"70,0,0"
,,
"70,0,0",,"70,0,0"
,,
"70,0,0",,"70,0,0"
,,
"70,0,0",,"70,0,0"
,,
"70,0,0",,"70,0,0"
,,
"70,0,0",,"70,0,0"
,,
"71,0,0",,"71,0,0"
,,
"71,0,0",,"71,0,0"
,,
"71,0,0",,"71,0,0"
,,
"71,0,0",,"71,0,0"
,,
"71,0,0",,"71,0,0"
,,
"71,0,0",,"71,0,0"
,,
"71,0,0",,"71,0,0"
,,
"71,0,0",,"71,0,0"
,,
"71,0,0",,"71,0,0"
,,
"72,-1,0",,"72,1,6"
,,
"72,-3,0",,"72,3,4"
,,
"72,2,5",,"72,-2,0"
,,
"72,0,0",,"72,0,0"
,,
"72,0,0",,"72,0,0"
,,
"72,0,0",,"72,0,0"
,,
"72,0,0",,"72,0,0"
,,
"72,0,0",,"72,0,0"
,,
"72,0,0",,"72,0,0"
,,
"73,2,5",,"73,-2,0"
,,
"73,0,0",,"73,0,0"
,,
"73,0,0",,"73,0,0"
,,
"73,0,0",,"73,0,0"
,,
"73,0,0",,"73,0,0"
,,
"73,0,0",,"73,0,0"
,,
"73,0,0",,"73,0,0"
,,
"73,0,0",,"73,0,0"
,,
"73,0,0",,"73,0,0"
,,
"74,1,6",,"74,-1,0"
,,
"74,0,0",,"74,0,0"
,,
"74,0,0",,"74,0,0"
,,
"74,0,0",,"74,0,0"
,,
"74,0,0",,"74,0,0"
,,
"74,0,0",,"74,0,0"
,,
"74,0,0",,"74,0,0"
,,
"74,0,0",,"74,0,0"
,,
"74,0,0",,"74,0,0"
,,
"75,1,6",,"75,-1,0"
,,
"75,1,6",,"75,-1,0"
,,
"75,0,0",,"75,0,0"
,,
"75,0,0",,"75,0,0"
,,
"75,0,0",,"75,0,0"
,,
"75,0,0",,"75,0,0"
,,
"75,0,0",,"75,0,0"
,,
"75,0,0",,"75,0,0"
,,
"75,0,0",,"75,0,0"
,,
"76,-1,0",,"76,1,6"
,,
"76,2,5",,"76,-2,0"
,,
"76,0,0",,"76,0,0"
,,
"76,0,0",,"76,0,0"
,,
"76,0,0",,"76,0,0"
,,
"76,0,0",,"76,0,0"
,,
"76,0,0",,"76,0,0"
,,
"76,0,0",,"76,0,0"
,,
"76,0,0",,"76,0,0"
,,
"77,1,6",,"77,-1,0"
,,
"77,0,0",,"77,0,0"
,,
"77,0,0",,"77,0,0"
,,
"77,0,0",,"77,0,0"
,,
"77,0,0",,"77,0,0"
,,
"77,0,0",,"77,0,0"
,,
"77,0,0",,"77,0,0"
,,
"77,0,0",,"77,0,0"
,,
"77,0,0",,"77,0,0"
,,
"78,0,0",,"78,0,0"
,,
"78,0,0",,"78,0,0"
,,
"78,0,0",,"78,0,0"
,,
"78,0,0",,"78,0,0"
,,
"78,0,0",,"78,0,0"
,,
"78,0,0",,"78,0,0"
,,
"78,0,0",,"78,0,0"
,,
"78,0,0",,"78,0,0"
,,
"78,0,0",,"78,0,0"
,,
"79,0,0",,"79,0,0"
,,
"79,0,0",,"79,0,0"
,,
"79,0,0",,"79,0,0"
,,
"79,0,0",,"79,0,0"
,,
"79,0,0",,"79,0,0"
,,
"79,0,0",,"79,0,0"
,,
"79,0,0",,"79,0,0"
,,
"79,0,0",,"79,0,0"
,,
"79,0,0",,"79,0,0"
,,
"80,0,0",,"80,0,0"
,,
"80,0,0",,"80,0,0"
,,
"80,0,0",,"80,0,0"
,,
"80,0,0",,"80,0,0"
,,
"80,0,0",,"80,0,0"
,,
"80,0,0",,"80,0,0"
,,
"80,0,0",,"80,0,0"
,,
"80,0,0",,"80,0,0"
,,
"80,0,0",,"80,0,0"
,,
"81,2,5",,"81,-2,0"
,,
"81,1,6",,"81,-1,0"
,,
"81,0,0",,"81,0,0"
,,
"81,0,0",,"81,0,0"
,,
"81,0,0",,"81,0,0"
,,
"81,0,0",,"81,0,0"
,,
"81,0,0",,"81,0,0"
,,
"81,0,0",,"81,0,0"
,,
"81,0,0",,"81,0,0"
,,
"82,0,0",,"82,0,0"
,,
